Date_new,firstDose,secondDose
"27-02-2021",     384,    null
"01-03-2021",     727,    null
"05-03-2021",     2343,   null
"07-03-2021",     2902,   null
"08-03-2021",     3402,   null
"09-03-2021",     3630,   null
"10-03-2021",     4085,   null
"11-03-2021",     4746,   null
"12-03-2021",     5432,   null
"13-03-2021",     5531,   null
"15-03-2021",     7084,   null
"16-03-2021",     7482,   null
"21-03-2021",     10691,  375
"23-03-2021",     12886,  721
"25-03-2021",     14789,  1437
"27-03-2021",     15921,  2070
"29-03-2021",     17411,  3006
"30-03-2021",     20663,  3401
"01-04-2021",     22941,  4525
"02-04-2021",     23990,  5260
"04-04-2021",     24152,  5547
"05-04-2021",     25382,  6620
