data,stato,new_cases_d,Tatal_cases_A,Active_cases_A,Local_Active_cases_A,Imported_Active_cases,Recovered_Cases_A,Death_D,Death_A,tests_A
2020-08-27T18:30:00,PS,77,152,77,40,37,,,3,
2020-08-27T22:30:00,PS,,192,117,80,37,72,,3,
2020-08-28T20:00:00,PS,31,221,146,109,37,72,,3,
2020-08-29T20:00:00,PS,36,257,182,145,37,72,,3,
2020-08-31T10:15:00,PS,69,356,280,243,37,72,1,4,670
2020-09-01T10:15:00,PS,44,400,319,286,33,76,,5,1078
2020-09-02T10:00:00,PS,84,483,402,365,37,76,,5,1281
2020-09-03T10:15:00,PS,98,581,500,463,37,76,,5,1421
2020-09-04T10:15:00,PS,116,697,603,577,26,89,,5,1578
2020-09-05T10:00:00,PS,110,807,713,687,26,89,,5,1562
2020-09-06T10:25:00,PS,162,969,873,843,30,89,,7,1266
2020-09-07T10:00:00,PS,182,1151,1054,1024,30,89,,8,1857
